room_type,segment,area_m2,ceiling_h,budget,required_lux,total_lumens,fixtures_count,fixture_type,fixture_lm,purpose,country,model_name,price_rub,norm_ref
Фойе театра/кинотеатра,administrative,124,5.8,15356,158,22334,6,Потолочный,3230,Фойе театра/кинотеатра,Германия,Юпитер UJ1211,2099,СП 52.13330.2016
Кухня,domestic,15,2.7,2302,206,3090,1,Потолочный,3386,Кухня,Россия,LumenPro JP7231,1862,СП 52.13330.2016
Конференц-зал,administrative,165,4.4,55561,385,67971,21,Подвесной,3205,Конференц-зал,Турция,ProLED VT9299,2291,СП 52.13330.2016
Аварийный выход,outdoor,16,0.0,264,45,720,3,Аварийный,233,Аварийный выход,Корея,Oculus BM899,64,ГОСТ Р 55710-2013
Сцена театра,administrative,195,5.4,156963,967,211192,69,Подвесной,3041,Сцена театра,Турция,ПроСвет EX062,1976,СНиП 23-05-95
Жилое помещение,domestic,15,2.6,780,196,2940,3,Настенный (бра),792,Жилое помещение,Тайвань,Зенит NH17666,237,СанПиН 2.2.1
Спальня,domestic,14,3.0,1338,164,2296,1,Потолочный,2534,Спальня,Корея,ЭРА LL6472,1013,СП 52.13330.2016
Выставочный зал,administrative,398,7.1,208019,528,253223,105,Встраиваемый,2404,Выставочный зал,Китай,MaxLight EE6136,1730,СП 52.13330.2016
Больница (палата),administrative,18,4.7,2094,209,4081,3,Настенный линейный,1231,Больница (палата),Франция,OptiLight WC13816,609,СП 52.13330.2016
Кафе,administrative,124,11.8,46973,272,48568,12,Подвесной,3999,Кафе,Франция,ProLED XI758,2859,СП 52.13330.2016
Спальня,domestic,15,2.7,817,158,2370,4,Настенный (бра),590,Спальня,США,LumenPro IV11881,194,СП 52.13330.2016
Производственные (точные работы),industrial,577,7.3,750968,415,290937,12,Промышленный (High-bay),24060,Производственные (точные работы),Тайвань,Osram SC7250,42105,СП 52.13330.2016
Цех деревообработки,industrial,567,6.9,479087,290,196493,8,Промышленный (High-bay),23672,Цех деревообработки,Китай,Philips LG11820,44385,СП 52.13330.2016
Жилое помещение,domestic,25,2.6,1788,213,5325,1,Потолочный,3279,Жилое помещение,Китай,HomeLight TI4594,1639,СанПиН 2.2.1
Лестничная клетка,outdoor,44,0.0,506,34,1496,9,Аварийный,155,Лестничная клетка,Франция,Андромеда GV11941,50,СП 52.13330.2016
Сцена театра,administrative,183,8.1,187478,913,209684,64,Подвесной,3262,Сцена театра,Россия,Юпитер ZB17970,2756,СНиП 23-05-95
Балкон/лоджия,domestic,10,2.5,1099,102,1020,1,Настенный линейный,1806,Балкон/лоджия,Турция,HomeLight HE2624,812,СП 52.13330.2016
Зал кинотеатра,administrative,442,12.7,26578,48,31505,12,Потолочный,2557,Зал кинотеатра,Турция,MaxLight GC14128,1534,СНиП 23-05-95
Лестничная клетка,outdoor,38,0.0,1128,37,1406,1,Настенный линейный,1572,Лестничная клетка,Германия,StreetLine SE4291,778,СП 52.13330.2016
Спальня,domestic,11,2.9,1689,152,1672,1,Потолочный,2741,Спальня,Корея,BrightLine JI3074,1507,СП 52.13330.2016
Сцена театра,administrative,296,10.2,391355,1022,411416,111,Подвесной,3674,Сцена театра,Китай,OptiLight AK19712,2626,СНиП 23-05-95
Библиотека,administrative,162,3.4,32673,310,51224,28,Настенный линейный,1816,Библиотека,Италия,MaxLight WC15185,980,СП 52.13330.2016
Школа (класс),administrative,66,4.0,25173,380,26334,7,Встраиваемый,3408,Школа (класс),США,ZetaLED WI11906,2453,СП 52.13330.2016
Парковка,outdoor,1506,0.0,76274,50,75300,4,Прожектор,15501,Парковка,Турция,MarketLED BL17116,15501,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,130,11.7,19546,140,26117,6,Подвесной,3749,Фойе театра/кинотеатра,Россия,ZetaLED FG7808,2924,СП 52.13330.2016
Коридор (общественный),outdoor,47,0.0,1703,79,3713,2,Настенный линейный,1247,Коридор (общественный),Германия,Oculus EY16273,617,СП 52.13330.2016
Производственные (общее),industrial,285,11.4,215869,246,99556,6,Промышленный (High-bay),16444,Производственные (общее),Корея,СветТех CE8504,24666,СП 52.13330.2016
Конференц-зал,administrative,98,3.0,22379,402,39396,14,Потолочный,2794,Конференц-зал,Франция,OptiLight IS14816,1536,СП 52.13330.2016
Коридор (общественный),outdoor,95,0.0,2666,73,6935,37,Аварийный,185,Коридор (общественный),США,Плутон NS17443,55,СП 52.13330.2016
Парковка,outdoor,1173,0.0,84871,50,58650,5,Консольный,10590,Парковка,Турция,Андромеда WS8681,15143,СП 52.13330.2016
Парковка,outdoor,1125,0.0,58115,49,55125,2,Прожектор,19684,Парковка,Корея,MarketLED QS5805,19684,СП 52.13330.2016
Холодильный склад,industrial,248,10.7,74188,146,50148,11,Пылевлагозащищённый (IP65),4323,Холодильный склад,Корея,TechnoLight MI10049,5057,СП 52.13330.2016
Санузел,domestic,5,2.8,3471,53,265,1,Пылевлагозащищённый (IP65),3435,Санузел,Германия,BrightLine SJ14409,3400,СП 52.13330.2016
Спальня,domestic,24,3.0,1156,163,3912,4,Настенный (бра),797,Спальня,Россия,HomeLight XV3690,239,СП 52.13330.2016
Склад,industrial,660,7.8,282858,195,159588,15,Прожектор,10341,Склад,Китай,LuxPro GQ5464,13443,СП 52.13330.2016
Конференц-зал,administrative,123,11.7,42492,372,65659,24,Потолочный,2732,Конференц-зал,США,ZetaLED JB19875,1639,СП 52.13330.2016
Холодильный склад,industrial,259,11.7,99363,162,60209,23,Пылевлагозащищённый (IP65),2521,Холодильный склад,США,TechnoLight MD2111,2949,СП 52.13330.2016
Производственные (общее),industrial,695,11.6,509556,241,239517,11,Промышленный (High-bay),20373,Производственные (общее),Китай,Philips NM13506,38199,СП 52.13330.2016
Санузел,domestic,5,2.7,2197,45,225,1,Потолочный,2711,Санузел,Италия,LumenPro DX2922,1491,СП 52.13330.2016
Концертный зал,administrative,671,11.7,223096,295,284051,75,Подвесной,3768,Концертный зал,Китай,MaxLight ZD3026,2939,СНиП 23-05-95
Зал кинотеатра,administrative,389,9.6,19815,50,25868,21,Настенный линейный,1203,Зал кинотеатра,США,MaxLight OS7509,649,СНиП 23-05-95
Обеденный зал (ресторан/столовая),administrative,132,10.5,32808,197,35755,9,Подвесной,3774,Обеденный зал (ресторан/столовая),Турция,OptiLight MH18568,2698,СНиП 23-05-95
Электромонтажный цех,industrial,382,9.1,376833,405,201896,48,Пылевлагозащищённый (IP65),4123,Электромонтажный цех,Италия,Philips DP17984,5566,СП 52.13330.2016
Балкон/лоджия,domestic,9,2.8,681,95,855,1,Настенный линейный,1676,Балкон/лоджия,Корея,ЭРА DR10897,603,СП 52.13330.2016
Больница (палата),administrative,29,8.1,3783,197,7169,2,Потолочный,2819,Больница (палата),США,Юпитер UP9888,1832,СП 52.13330.2016
Производственные (точные работы),industrial,474,9.5,253451,483,303348,98,Встраиваемый,3078,Производственные (точные работы),Россия,СветТех IF11563,2216,СП 52.13330.2016
Балкон/лоджия,domestic,5,2.8,5398,90,450,1,Пылевлагозащищённый (IP65),4342,Балкон/лоджия,Корея,Зенит BJ531,3907,СП 52.13330.2016
Производственные (общее),industrial,154,10.4,109815,227,47892,4,Взрывозащищённый,9898,Производственные (общее),Россия,LuxPro YB14937,19301,СП 52.13330.2016
Кухня,domestic,19,2.8,1571,214,4066,1,Потолочный,2687,Кухня,Корея,EcoLight JA17940,1209,СП 52.13330.2016
Производственные (грубые работы),industrial,1009,6.9,611477,181,218241,25,Взрывозащищённый,8716,Производственные (грубые работы),Россия,Philips PJ6995,19611,СП 52.13330.2016
Кафе,administrative,97,10.7,23884,283,38019,12,Потолочный,2989,Кафе,Китай,ProLED CN6901,1643,СП 52.13330.2016
Склад,industrial,535,10.9,243095,188,140309,7,Промышленный (High-bay),19652,Склад,Тайвань,Osram OE13992,34391,СП 52.13330.2016
Склад,industrial,310,11.3,152955,206,90361,8,Прожектор,10086,Склад,Россия,Philips AY7653,15129,СП 52.13330.2016
Гостиная,domestic,40,2.7,6720,189,7560,2,Подвесной,3697,Гостиная,Италия,LumenPro GZ11343,2643,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,89,6.5,10691,156,16313,4,Подвесной,3288,Фойе театра/кинотеатра,США,MaxLight NS13231,2564,СП 52.13330.2016
Сад/парк,outdoor,2537,0.0,110932,32,81184,6,Консольный,11942,Сад/парк,Китай,Плутон WE1846,15763,СП 52.13330.2016
Производственные (грубые работы),industrial,883,11.5,428438,166,208873,16,Взрывозащищённый,12757,Производственные (грубые работы),США,TechnoLight CC16710,24876,СП 52.13330.2016
Кухня,domestic,14,2.7,1367,204,2856,1,Встраиваемый,2037,Кухня,Франция,HomeLight OZ3416,1222,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,135,7.7,25316,154,25675,7,Подвесной,3334,Фойе театра/кинотеатра,Франция,MaxLight RW12197,2600,СП 52.13330.2016
Производственные (грубые работы),industrial,312,4.1,99183,183,60236,4,Взрывозащищённый,13395,Производственные (грубые работы),Россия,СветТех BL16221,24111,СП 52.13330.2016
Кафе,administrative,68,6.3,25924,321,25429,7,Подвесной,3618,Кафе,Россия,Юпитер BB14907,3057,СП 52.13330.2016
Стадион,outdoor,14359,0.0,4393797,208,2986672,166,Прожектор,17992,Стадион,Китай,Андромеда EH2868,23389,СНиП 23-05-95
Фойе театра/кинотеатра,administrative,188,5.9,24333,160,34441,13,Потолочный,2524,Фойе театра/кинотеатра,Франция,ProLED YX15085,1388,СП 52.13330.2016
Выставочный зал,administrative,526,11.3,654037,480,357259,20,Прожектор,17674,Выставочный зал,США,Юпитер VL18496,22976,СП 52.13330.2016
Лестничная клетка,outdoor,16,0.0,1031,36,576,1,Настенный линейный,1879,Лестничная клетка,Китай,Плутон US1896,1014,СП 52.13330.2016
Выставочный зал,administrative,538,6.8,270502,468,299622,89,Подвесной,3346,Выставочный зал,США,Юпитер FR5324,2827,СП 52.13330.2016
Коридор (жилой),domestic,8,2.9,344,29,232,1,Настенный (бра),855,Коридор (жилой),США,Зенит RZ16503,256,СП 52.13330.2016
Электромонтажный цех,industrial,273,9.1,276225,393,140012,28,Пылевлагозащищённый (IP65),4912,Электромонтажный цех,Китай,Philips BQ12990,6631,СП 52.13330.2016
Коридор (общественный),outdoor,34,0.0,841,81,2754,8,Аварийный,313,Коридор (общественный),Корея,MarketLED VO4081,78,СП 52.13330.2016
Коридор (общественный),outdoor,69,0.0,1456,70,4830,29,Аварийный,162,Коридор (общественный),Франция,MarketLED RC17927,40,СП 52.13330.2016
Больница (палата),administrative,19,6.0,2659,201,4391,4,Настенный линейный,1029,Больница (палата),США,MaxLight AA17263,555,СП 52.13330.2016
Электромонтажный цех,industrial,251,11.9,202566,377,136736,37,Пылевлагозащищённый (IP65),3654,Электромонтажный цех,Корея,TechnoLight YZ8777,4275,СП 52.13330.2016
Аварийный выход,outdoor,17,0.0,294,47,799,4,Аварийный,197,Аварийный выход,Германия,SafeExit YU12404,59,ГОСТ Р 55710-2013
Коридор (общественный),outdoor,56,0.0,1135,67,3752,20,Аварийный,187,Коридор (общественный),Россия,MarketLED JD2323,46,СП 52.13330.2016
Библиотека,administrative,121,2.8,39781,327,39567,10,Подвесной,3610,Библиотека,Турция,ZetaLED VJ211,2815,СП 52.13330.2016
Производственные (общее),industrial,598,5.6,434615,266,179746,20,Взрывозащищённый,8817,Производственные (общее),Германия,Феникс VJ14626,15870,СП 52.13330.2016
Офис,administrative,16,11.2,7620,486,10964,3,Встраиваемый,3419,Офис,Германия,ZetaLED RR15214,2461,СП 52.13330.2016
Стадион,outdoor,12867,0.0,3791199,199,2560533,276,Консольный,9246,Стадион,Турция,Андромеда IJ9434,13221,СНиП 23-05-95
Зал кинотеатра,administrative,269,4.9,10334,54,15905,4,Потолочный,3399,Зал кинотеатра,Россия,Юпитер VV19830,2209,СНиП 23-05-95
Стадион,outdoor,17883,0.0,6063166,216,3862728,238,Прожектор,16219,Стадион,США,Oculus OI11530,17840,СНиП 23-05-95
Коридор (жилой),domestic,5,2.8,158,30,150,1,Настенный (бра),508,Коридор (жилой),Китай,EcoLight AK509,137,СП 52.13330.2016
Концертный зал,administrative,790,7.9,403203,287,282278,27,Прожектор,10104,Концертный зал,Германия,OptiLight TZ5141,11114,СНиП 23-05-95
Электромонтажный цех,industrial,138,11.7,116377,390,77231,15,Пылевлагозащищённый (IP65),4893,Электромонтажный цех,США,Philips IF15474,6605,СП 52.13330.2016
Концертный зал,administrative,719,10.0,439632,285,276635,17,Прожектор,15520,Концертный зал,Тайвань,ZetaLED QJ16331,18624,СНиП 23-05-95
Зал театра,administrative,335,10.1,68104,184,83522,78,Настенный линейный,1058,Зал театра,Франция,Юпитер IW5910,618,СНиП 23-05-95
Школа (класс),administrative,69,2.9,17218,381,26289,10,Потолочный,2602,Школа (класс),Италия,ZetaLED AU8988,1561,СП 52.13330.2016
Жилое помещение,domestic,28,2.9,2090,188,5264,6,Настенный (бра),778,Жилое помещение,Корея,Зенит SL15156,233,СанПиН 2.2.1
Концертный зал,administrative,795,3.3,172953,306,246919,75,Подвесной,3274,Концертный зал,Россия,ПроСвет UK12970,2128,СНиП 23-05-95
Концертный зал,administrative,472,4.8,247236,306,157430,13,Прожектор,11738,Концертный зал,Корея,ProLED ER1269,12911,СНиП 23-05-95
Производственные (общее),industrial,656,11.4,494256,241,224496,9,Промышленный (High-bay),22543,Производственные (общее),Россия,LuxPro VY11166,36632,СП 52.13330.2016
Зал театра,administrative,430,4.9,49949,193,90874,46,Настенный линейный,1951,Зал театра,Корея,MaxLight RZ14366,1053,СНиП 23-05-95
Торговый зал,industrial,172,5.2,175938,764,145862,46,Подвесной,3136,Торговый зал,Китай,TechnoLight ZJ6902,2649,СНиП 23-05-95
Жилое помещение,domestic,29,2.6,1334,196,5684,6,Настенный (бра),835,Жилое помещение,Корея,ЭРА QV2699,200,СанПиН 2.2.1
Сцена театра,administrative,145,10.7,271441,942,189177,16,Прожектор,11359,Сцена театра,Корея,ПроСвет AK6350,11359,СНиП 23-05-95
Офис,administrative,41,10.4,22400,521,29264,7,Подвесной,3849,Офис,Россия,ProLED QV13146,2752,СП 52.13330.2016
Библиотека,administrative,91,8.5,29646,329,38172,23,Настенный линейный,1597,Библиотека,Корея,Юпитер OV1665,934,СП 52.13330.2016
Выставочный зал,administrative,834,12.0,798926,537,649394,163,Подвесной,3972,Выставочный зал,США,Юпитер VD15982,3356,СП 52.13330.2016
Лестничная клетка,outdoor,38,0.0,1153,37,1406,1,Настенный линейный,1775,Лестничная клетка,Китай,Андромеда NX5710,1038,СП 52.13330.2016
Парковка,outdoor,339,0.0,14527,54,18306,1,Консольный,11330,Парковка,Франция,Oculus KD11306,13709,СП 52.13330.2016
Холодильный склад,industrial,251,4.9,52530,153,42051,8,Пылевлагозащищённый (IP65),4680,Холодильный склад,Турция,TechnoLight UI14350,5475,СП 52.13330.2016
Производственные (грубые работы),industrial,722,5.8,217889,191,157208,9,Прожектор,15871,Производственные (грубые работы),Корея,LuxPro VZ16336,20632,СП 52.13330.2016
Цех (ресторан/столовая),administrative,119,11.9,88782,301,51758,3,Промышленный (High-bay),16281,Цех (ресторан/столовая),Турция,Юпитер JF163,26456,СП 52.13330.2016
Улица,outdoor,876,0.0,135954,104,91104,10,Консольный,8370,Улица,Турция,Oculus UQ19025,10127,СП 52.13330.2016
Цех деревообработки,industrial,300,11.8,232314,299,129168,5,Промышленный (High-bay),23529,Цех деревообработки,Россия,Philips JT6298,44116,СП 52.13330.2016
Лестничная клетка,outdoor,30,0.0,330,37,1110,2,Аварийный,395,Лестничная клетка,Италия,Плутон QT15801,118,СП 52.13330.2016
Склад,industrial,867,5.3,287103,214,206874,12,Прожектор,16391,Склад,США,Феникс ZG10635,19669,СП 52.13330.2016
Кафе,administrative,143,7.7,45405,323,57043,17,Потолочный,3343,Кафе,Италия,ZetaLED ZH8867,2005,СП 52.13330.2016
Электромонтажный цех,industrial,172,11.4,215782,420,102580,12,Взрывозащищённый,8012,Электромонтажный цех,Германия,TechnoLight OJ6019,15623,СП 52.13330.2016
Коридор (жилой),domestic,25,2.8,460,32,800,1,Настенный (бра),986,Коридор (жилой),Россия,BrightLine RN14265,325,СП 52.13330.2016
Цех деревообработки,industrial,316,8.6,197598,303,122557,5,Промышленный (High-bay),22389,Цех деревообработки,Корея,TechnoLight JF11650,36382,СП 52.13330.2016
Концертный зал,administrative,801,11.5,564878,318,362973,24,Прожектор,14919,Концертный зал,Корея,ProLED BP19303,16410,СНиП 23-05-95
Санузел,domestic,3,3.0,1652,49,147,1,Потолочный,3135,Санузел,Корея,Зенит XO12210,1567,СП 52.13330.2016
Стадион,outdoor,16851,0.0,5813742,211,3555561,315,Прожектор,11267,Стадион,Франция,Андромеда AH15339,14647,СНиП 23-05-95
Санузел,domestic,8,2.9,4549,53,424,1,Пылевлагозащищённый (IP65),4590,Санузел,Германия,Зенит JM5161,4131,СП 52.13330.2016
Стадион,outdoor,16426,0.0,5460585,184,3022384,354,Консольный,8514,Стадион,Германия,Плутон EB17572,11238,СНиП 23-05-95
Парковка,outdoor,1815,0.0,127599,49,88935,10,Консольный,8172,Парковка,Корея,Плутон EV3790,10787,СП 52.13330.2016
Парковка,outdoor,797,0.0,44944,50,39850,3,Консольный,10434,Парковка,Германия,MarketLED SY17622,11477,СП 52.13330.2016
Выставочный зал,administrative,738,10.0,614574,459,457301,34,Прожектор,13348,Выставочный зал,Италия,ПроСвет ZC14070,13348,СП 52.13330.2016
Склад,industrial,346,7.2,157799,204,85406,6,Прожектор,13703,Склад,Турция,TechnoLight PS7658,17813,СП 52.13330.2016
Библиотека,administrative,79,4.6,22793,307,26193,7,Подвесной,3639,Библиотека,Тайвань,OptiLight PC14069,2601,СП 52.13330.2016
Сад/парк,outdoor,2510,0.0,92540,28,70280,8,Парковый фонарь,7942,Сад/парк,Турция,Плутон JI1945,8100,СП 52.13330.2016
Электромонтажный цех,industrial,339,5.5,310154,415,158270,33,Пылевлагозащищённый (IP65),4664,Электромонтажный цех,Россия,Philips PO18675,6296,СП 52.13330.2016
Производственные (точные работы),industrial,349,6.0,228281,427,171376,77,Встраиваемый,2217,Производственные (точные работы),Тайвань,Philips RO17022,1995,СП 52.13330.2016
Зал кинотеатра,administrative,390,7.4,13151,50,23790,20,Настенный линейный,1174,Зал кинотеатра,Россия,MaxLight OK11400,633,СНиП 23-05-95
Кухня,domestic,16,2.6,2993,213,3408,1,Встраиваемый,3105,Кухня,Россия,BrightLine KM14292,2049,СП 52.13330.2016
Гостиная,domestic,39,3.0,5595,189,7371,2,Подвесной,3576,Гостиная,Корея,Зенит AB16756,2324,СП 52.13330.2016
Улица,outdoor,292,0.0,46777,102,29784,3,Консольный,8588,Улица,Италия,Плутон WQ6570,11336,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,175,12.4,27987,135,34728,9,Подвесной,3742,Фойе театра/кинотеатра,Германия,ProLED EL5146,2675,СП 52.13330.2016
Склад,industrial,850,5.6,348154,213,204586,20,Прожектор,10218,Склад,Германия,Osram BL2561,14305,СП 52.13330.2016
Производственные (общее),industrial,257,7.4,168598,252,79012,9,Взрывозащищённый,8089,Производственные (общее),Франция,LuxPro SM17014,15773,СП 52.13330.2016
Цех (ресторан/столовая),administrative,75,8.6,40486,296,28416,1,Промышленный (High-bay),24125,Цех (ресторан/столовая),Тайвань,OptiLight LG11048,33171,СП 52.13330.2016
Офис,administrative,31,4.9,13288,452,15343,6,Встраиваемый,2386,Офис,Тайвань,MaxLight NJ19770,1717,СП 52.13330.2016
Производственные (грубые работы),industrial,580,5.1,252913,175,112157,8,Взрывозащищённый,12689,Производственные (грубые работы),США,TechnoLight NT13567,24743,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,172,5.8,30483,216,42353,12,Потолочный,3274,Обеденный зал (ресторан/столовая),США,OptiLight RN10757,1800,СНиП 23-05-95
Производственные (грубые работы),industrial,767,7.5,273269,192,180398,9,Прожектор,19143,Производственные (грубые работы),Тайвань,Феникс HW9308,22971,СП 52.13330.2016
Концертный зал,administrative,673,10.7,359454,323,301069,20,Прожектор,14872,Концертный зал,Корея,ProLED AS9988,16359,СНиП 23-05-95
Коридор (общественный),outdoor,100,0.0,1939,71,7100,39,Аварийный,181,Коридор (общественный),Турция,Oculus JH10759,49,СП 52.13330.2016
Зал кинотеатра,administrative,264,13.0,13638,54,21384,20,Настенный линейный,1043,Зал кинотеатра,Россия,MaxLight EC7173,563,СНиП 23-05-95
Балкон/лоджия,domestic,10,2.6,4320,106,1060,1,Пылевлагозащищённый (IP65),4154,Балкон/лоджия,Китай,ЭРА LW15981,2990,СП 52.13330.2016
Спальня,domestic,22,2.6,1187,160,3520,5,Настенный (бра),704,Спальня,Германия,LumenPro XM12622,232,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,143,10.2,38708,215,41813,10,Подвесной,3907,Обеденный зал (ресторан/столовая),Корея,OptiLight EX8741,2793,СНиП 23-05-95
Парковка,outdoor,1853,0.0,148762,54,100062,11,Консольный,8846,Парковка,Турция,SafeExit KY15050,11676,СП 52.13330.2016
Сцена театра,administrative,107,10.7,213842,958,141970,7,Прожектор,19097,Сцена театра,Китай,MaxLight RS17585,22916,СНиП 23-05-95
Торговый зал,industrial,188,5.7,110526,678,144671,50,Встраиваемый,2868,Торговый зал,Корея,Феникс AN2629,2064,СНиП 23-05-95
Музейный зал,administrative,392,4.7,208869,435,185014,54,Подвесной,3415,Музейный зал,Китай,Юпитер BF9680,2885,СП 52.13330.2016
Улица,outdoor,692,0.0,111535,105,72660,6,Консольный,11963,Улица,Корея,Андромеда ZW17800,17107,СП 52.13330.2016
Цех (ресторан/столовая),administrative,137,3.8,42557,299,42601,9,Пылевлагозащищённый (IP65),4546,Цех (ресторан/столовая),Россия,ProLED TG7779,4500,СП 52.13330.2016
Производственные (точные работы),industrial,168,7.1,170180,432,87454,5,Промышленный (High-bay),17099,Производственные (точные работы),Китай,Osram JS6791,29923,СП 52.13330.2016
Музейный зал,administrative,444,6.8,202497,426,225081,58,Подвесной,3823,Музейный зал,Германия,Юпитер AF3107,3230,СП 52.13330.2016
Выставочный зал,administrative,639,11.9,790083,525,484761,36,Прожектор,13280,Выставочный зал,Италия,Юпитер GP2368,17264,СП 52.13330.2016
Парковка,outdoor,456,0.0,38238,47,21432,2,Консольный,10412,Парковка,Корея,SafeExit ZA11833,13743,СП 52.13330.2016
Производственные (общее),industrial,924,7.9,597276,237,272640,19,Взрывозащищённый,13712,Производственные (общее),Франция,СветТех UI17317,24681,СП 52.13330.2016
Кафе,administrative,47,9.3,17841,301,18603,5,Подвесной,3410,Кафе,Тайвань,MaxLight YC12311,2659,СП 52.13330.2016
Конференц-зал,administrative,192,9.7,106868,427,109448,33,Подвесной,3296,Конференц-зал,Корея,ZetaLED QQ7807,2570,СП 52.13330.2016
Склад,industrial,109,10.3,31412,183,27227,1,Прожектор,14860,Склад,Германия,Philips NM6546,22290,СП 52.13330.2016
Балкон/лоджия,domestic,8,2.6,5671,109,872,1,Пылевлагозащищённый (IP65),4070,Балкон/лоджия,Корея,BrightLine RP13906,4029,СП 52.13330.2016
Коридор (общественный),outdoor,46,0.0,1866,74,3404,2,Настенный линейный,1649,Коридор (общественный),Тайвань,MarketLED SD8257,742,СП 52.13330.2016
Балкон/лоджия,domestic,6,2.8,3451,103,618,1,Пылевлагозащищённый (IP65),2615,Балкон/лоджия,Россия,Зенит MG10765,2353,СП 52.13330.2016
Стадион,outdoor,16109,0.0,5118444,199,3205691,206,Прожектор,15556,Стадион,Корея,SafeExit VT12855,18667,СНиП 23-05-95
Производственные (точные работы),industrial,159,4.7,85655,429,74008,22,Встраиваемый,3240,Производственные (точные работы),Китай,Osram TG13946,2721,СП 52.13330.2016
Коридор (общественный),outdoor,56,0.0,1276,70,3920,22,Аварийный,173,Коридор (общественный),США,Плутон YW14112,51,СП 52.13330.2016
Электромонтажный цех,industrial,226,5.8,203798,430,110785,39,Пылевлагозащищённый (IP65),2821,Электромонтажный цех,Германия,Philips LZ15269,3808,СП 52.13330.2016
Сцена театра,administrative,161,6.0,99775,1018,188482,60,Потолочный,3129,Сцена театра,Тайвань,ПроСвет IR1650,1564,СНиП 23-05-95
Зал театра,administrative,470,6.6,76025,207,114802,61,Настенный линейный,1856,Зал театра,Франция,OptiLight GI17734,918,СНиП 23-05-95
Лестничная клетка,outdoor,27,0.0,382,33,891,3,Аварийный,285,Лестничная клетка,Германия,SafeExit UC14289,85,СП 52.13330.2016
Балкон/лоджия,domestic,9,2.6,4888,99,891,1,Пылевлагозащищённый (IP65),3518,Балкон/лоджия,Турция,BrightLine BC13222,3482,СП 52.13330.2016
Производственные (точные работы),industrial,114,5.5,92410,429,55019,2,Промышленный (High-bay),22985,Производственные (точные работы),США,Феникс IZ1074,34477,СП 52.13330.2016
Музейный зал,administrative,476,12.0,270043,368,253993,14,Прожектор,17671,Музейный зал,Корея,ПроСвет DT15076,17671,СП 52.13330.2016
Музейный зал,administrative,404,11.6,281520,393,227043,60,Подвесной,3736,Музейный зал,Россия,Юпитер SQ2613,3156,СП 52.13330.2016
Музейный зал,administrative,312,12.6,267641,367,169465,14,Прожектор,11485,Музейный зал,Италия,MaxLight ZI10965,13782,СП 52.13330.2016
Школа (класс),administrative,41,8.3,12324,368,19086,7,Встраиваемый,2399,Школа (класс),Корея,OptiLight GK7375,1583,СП 52.13330.2016
Офис,administrative,59,10.1,39593,475,37973,9,Подвесной,3940,Офис,Италия,Юпитер XN16849,3329,СП 52.13330.2016
Улица,outdoor,427,0.0,49597,105,44835,9,Парковый фонарь,4659,Улица,Корея,Андромеда WI16946,5148,СП 52.13330.2016
Парковка,outdoor,819,0.0,64532,54,44226,3,Прожектор,14673,Парковка,США,MarketLED DI17283,14673,СП 52.13330.2016
Балкон/лоджия,domestic,4,2.9,589,91,364,1,Настенный линейный,1337,Балкон/лоджия,Италия,ЭРА KP11158,481,СП 52.13330.2016
Офис,administrative,32,5.1,14418,453,16018,4,Подвесной,3242,Офис,Россия,MaxLight PA1472,2528,СП 52.13330.2016
Производственные (общее),industrial,520,8.7,366822,234,156358,13,Взрывозащищённый,11563,Производственные (общее),США,Osram NI4193,24282,СП 52.13330.2016
Зал театра,administrative,427,11.1,71394,182,109188,36,Потолочный,2978,Зал театра,Франция,Юпитер SS19692,1935,СНиП 23-05-95
Коридор (жилой),domestic,28,2.8,315,30,840,1,Настенный (бра),701,Коридор (жилой),Корея,BrightLine PF5294,231,СП 52.13330.2016
Концертный зал,administrative,498,8.3,260758,326,205370,15,Прожектор,13136,Концертный зал,Германия,MaxLight FX18493,15763,СНиП 23-05-95
Производственные (точные работы),industrial,215,8.1,113713,426,114945,38,Встраиваемый,2956,Производственные (точные работы),США,Osram MW9808,2483,СП 52.13330.2016
Офис,administrative,73,3.1,27074,462,33894,16,Встраиваемый,2093,Офис,Германия,Юпитер LL5556,1632,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,95,12.8,11916,151,21374,6,Потолочный,3293,Фойе театра/кинотеатра,Тайвань,ПроСвет RV8310,1646,СП 52.13330.2016
Стадион,outdoor,16320,0.0,4801299,194,3166080,324,Консольный,9747,Стадион,Италия,StreetLine VD13381,11793,СНиП 23-05-95
Музейный зал,administrative,234,9.2,234262,420,128746,8,Прожектор,15073,Музейный зал,Турция,Юпитер JF1319,19594,СП 52.13330.2016
Парковка,outdoor,1480,0.0,113594,52,76960,6,Консольный,11271,Парковка,Франция,Плутон SL14126,14877,СП 52.13330.2016
Гостиная,domestic,16,2.9,2960,186,2976,1,Подвесной,3493,Гостиная,Германия,LumenPro NR15132,2497,СП 52.13330.2016
Коридор (жилой),domestic,12,2.5,197,27,324,1,Настенный (бра),643,Коридор (жилой),Турция,Зенит RV14532,192,СП 52.13330.2016
